2016-01-19 18:25:11.162440
----------------------------------
Package	Time			Clusters
100		21.402454		16
101		18.237992		16
102		20.133899		16
103		19.20849		16
104		21.314783		16
105		23.394027		20
106		16.711712		16
107		16.322623		16
108		13.844125		15
109		23.721998		21
111		20.504721		17
112		26.546202		19
113		24.08027		16
114		9.119746		15
115		17.923862		16
116		22.15424		16
117		13.850152		16
119		18.18987		16
121		16.721746		16
122		22.99647		21
123		13.653335		16
124		13.596723		15
200		19.451625		20
201		15.107807		13
202		20.98833		21
203		23.970817		26
205		24.997302		21
208		25.406313		24
209		28.351056		31
221		25.377833		19
222		23.030927		22
223		22.043512		18
230		19.728848		20
231		14.03429		12
232		16.280132		17
233		23.657992		24
234		25.459547		29
