 r_peak670.000000 r_peak_value0.754263 rr_pre_interval670.000000 rr_post_interval211.000000 p_onset87.000000 p_onset_val-0.163854 p_peak127.000000 p_peak_val0.053889 p_end152.000000 p_end_val-0.272037 qrs_onset199.000000 qrs_onset_val-0.263700 qrs_end5.000000 qrs_end_val0.905251 t_peak20.000000 t_peak_val1.131756 t_end80.000000 t_end_val-0.142804
 r_peak881.000000 r_peak_value1.863103 rr_pre_interval211.000000 rr_post_interval321.000000 p_onset37.000000 p_onset_val-2.215755 p_peak193.000000 p_peak_val-0.018342 p_end223.000000 p_end_val-0.337181 qrs_onset307.000000 qrs_onset_val-0.262648 qrs_end25.000000 qrs_end_val-1.109344 t_peak132.000000 t_peak_val1.185078 t_end223.000000 t_end_val-0.337181
 r_peak1202.000000 r_peak_value1.919453 rr_pre_interval321.000000 rr_post_interval313.000000 p_onset268.000000 p_onset_val-0.266913 p_peak292.000000 p_peak_val-0.203918 p_end296.000000 p_end_val-0.189122 qrs_onset298.000000 qrs_onset_val-0.159107 qrs_end20.000000 qrs_end_val-0.359012 t_peak124.000000 t_peak_val1.521582 t_end205.000000 t_end_val-0.328560
 r_peak1515.000000 r_peak_value1.981019 rr_pre_interval313.000000 rr_post_interval301.000000 p_onset86.000000 p_onset_val0.682055 p_peak182.000000 p_peak_val-0.148654 p_end189.000000 p_end_val-0.173120 qrs_onset288.000000 qrs_onset_val-0.196535 qrs_end18.000000 qrs_end_val-0.232445 t_peak117.000000 t_peak_val1.244216 t_end167.000000 t_end_val-0.240189
 r_peak1816.000000 r_peak_value1.863434 rr_pre_interval301.000000 rr_post_interval298.000000 p_onset232.000000 p_onset_val-0.216881 p_peak265.000000 p_peak_val0.142148 p_end282.000000 p_end_val-0.047492 qrs_onset285.000000 qrs_onset_val-0.108495 qrs_end25.000000 qrs_end_val-1.717537 t_peak121.000000 t_peak_val1.371518 t_end170.000000 t_end_val-0.087477
 r_peak2114.000000 r_peak_value1.840706 rr_pre_interval298.000000 rr_post_interval297.000000 p_onset194.000000 p_onset_val-0.055593 p_peak214.000000 p_peak_val0.264090 p_end254.000000 p_end_val-0.365377 qrs_onset284.000000 qrs_onset_val-0.368449 qrs_end15.000000 qrs_end_val0.042571 t_peak117.000000 t_peak_val1.356413 t_end184.000000 t_end_val-0.048352
 r_peak2411.000000 r_peak_value1.806333 rr_pre_interval297.000000 rr_post_interval306.000000 p_onset158.000000 p_onset_val0.152993 p_peak185.000000 p_peak_val0.159735 p_end244.000000 p_end_val-0.363964 qrs_onset293.000000 qrs_onset_val-0.261597 qrs_end10.000000 qrs_end_val0.758887 t_peak121.000000 t_peak_val1.334606 t_end169.000000 t_end_val0.337728
 r_peak2717.000000 r_peak_value1.871035 rr_pre_interval306.000000 rr_post_interval312.000000 p_onset37.000000 p_onset_val-2.229686 p_peak192.000000 p_peak_val-0.227085 p_end201.000000 p_end_val-0.262226 qrs_onset299.000000 qrs_onset_val-0.195363 qrs_end16.000000 qrs_end_val0.247038 t_peak127.000000 t_peak_val1.703309 t_end180.000000 t_end_val-0.218308
 r_peak3029.000000 r_peak_value1.834057 rr_pre_interval312.000000 rr_post_interval628.000000 p_onset318.000000 p_onset_val1.456537 p_peak442.000000 p_peak_val1.246556 p_end512.000000 p_end_val-0.169796 qrs_onset616.000000 qrs_onset_val0.151661 qrs_end20.000000 qrs_end_val-0.564202 t_peak314.000000 t_peak_val1.913230 t_end350.000000 t_end_val-2.190187
 r_peak3657.000000 r_peak_value1.884169 rr_pre_interval628.000000 rr_post_interval607.000000 p_onset312.000000 p_onset_val1.623575 p_peak427.000000 p_peak_val1.351931 p_end494.000000 p_end_val0.337526 qrs_onset593.000000 qrs_onset_val-0.404967 qrs_end20.000000 qrs_end_val-0.598261 t_peak311.000000 t_peak_val1.825596 t_end350.000000 t_end_val-2.400454
 r_peak4264.000000 r_peak_value1.967399 rr_pre_interval607.000000 rr_post_interval292.000000 p_onset35.000000 p_onset_val-2.298038 p_peak181.000000 p_peak_val-0.141960 p_end234.000000 p_end_val-0.383841 qrs_onset277.000000 qrs_onset_val-0.299279 qrs_end30.000000 qrs_end_val-1.982411 t_peak115.000000 t_peak_val1.441871 t_end176.000000 t_end_val-0.175266
