 r_peak96.000000 r_peak_value1.680415 rr_pre_interval96.000000 rr_post_interval98.000000 p_onset3.000000 p_onset_val1.492136 p_peak76.000000 p_peak_val-0.145939 p_end79.000000 p_end_val-0.133384 qrs_onset86.000000 qrs_onset_val0.148638 qrs_end28.000000 qrs_end_val-0.190160 t_peak22.000000 t_peak_val0.000991 t_end98.000000 t_end_val0.299376
 r_peak194.000000 r_peak_value0.299376 rr_pre_interval98.000000 rr_post_interval235.000000 p_onset99.000000 p_onset_val-0.172431 p_peak155.000000 p_peak_val0.145077 p_end188.000000 p_end_val0.048981 qrs_onset221.000000 qrs_onset_val0.257899 qrs_end6.000000 qrs_end_val-0.169826 t_peak140.000000 t_peak_val0.139842 t_end150.000000 t_end_val-0.086004
 r_peak429.000000 r_peak_value1.897477 rr_pre_interval235.000000 rr_post_interval233.000000 p_onset137.000000 p_onset_val-0.091629 p_peak163.000000 p_peak_val0.253778 p_end185.000000 p_end_val0.061615 qrs_onset202.000000 qrs_onset_val0.056864 qrs_end9.000000 qrs_end_val1.144154 t_peak91.000000 t_peak_val0.109624 t_end104.000000 t_end_val-0.115971
 r_peak662.000000 r_peak_value1.630673 rr_pre_interval233.000000 rr_post_interval202.000000 p_onset85.000000 p_onset_val0.050626 p_peak149.000000 p_peak_val0.079169 p_end152.000000 p_end_val-0.124138 qrs_onset188.000000 qrs_onset_val0.370939 qrs_end23.000000 qrs_end_val-0.307274 t_peak79.000000 t_peak_val0.132164 t_end86.000000 t_end_val0.087038
 r_peak864.000000 r_peak_value1.465784 rr_pre_interval202.000000 rr_post_interval403.000000 p_onset277.000000 p_onset_val-0.240329 p_peak304.000000 p_peak_val0.184170 p_end327.000000 p_end_val-0.123416 qrs_onset386.000000 qrs_onset_val-0.124418 qrs_end20.000000 qrs_end_val-0.335817 t_peak137.000000 t_peak_val1.135973 t_end169.000000 t_end_val-0.196094
 r_peak1267.000000 r_peak_value1.978262 rr_pre_interval403.000000 rr_post_interval217.000000 p_onset136.000000 p_onset_val0.181099 p_peak189.000000 p_peak_val0.280551 p_end187.000000 p_end_val0.121288 qrs_onset194.000000 qrs_onset_val-0.058838 qrs_end9.000000 qrs_end_val1.186756 t_peak111.000000 t_peak_val0.061882 t_end136.000000 t_end_val0.181099
 r_peak1484.000000 r_peak_value1.846130 rr_pre_interval217.000000 rr_post_interval233.000000 p_onset129.000000 p_onset_val-0.045174 p_peak186.000000 p_peak_val0.393825 p_end191.000000 p_end_val0.179168 qrs_onset198.000000 qrs_onset_val0.051630 qrs_end20.000000 qrs_end_val-0.319921 t_peak73.000000 t_peak_val0.115815 t_end129.000000 t_end_val-0.045174
 r_peak1717.000000 r_peak_value1.819342 rr_pre_interval233.000000 rr_post_interval207.000000 p_onset119.000000 p_onset_val0.015425 p_peak157.000000 p_peak_val1.350911 p_end187.000000 p_end_val-0.091157 qrs_onset200.000000 qrs_onset_val0.125740 qrs_end13.000000 qrs_end_val-0.222867 t_peak94.000000 t_peak_val0.245330 t_end119.000000 t_end_val0.015425
 r_peak1924.000000 r_peak_value0.738029 rr_pre_interval207.000000 rr_post_interval177.000000 p_onset112.000000 p_onset_val0.086801 p_peak142.000000 p_peak_val0.643981 p_end160.000000 p_end_val-0.033105 qrs_onset167.000000 qrs_onset_val0.634027 qrs_end8.000000 qrs_end_val0.231665 t_peak80.000000 t_peak_val0.356065 t_end112.000000 t_end_val0.086801
 r_peak2101.000000 r_peak_value1.421659 rr_pre_interval177.000000 rr_post_interval131.000000 p_onset55.000000 p_onset_val-0.292932 p_peak102.000000 p_peak_val0.441174 p_end106.000000 p_end_val-0.242306 qrs_onset113.000000 qrs_onset_val0.058055 qrs_end18.000000 qrs_end_val-0.169374 t_peak50.000000 t_peak_val-0.042163 t_end55.000000 t_end_val-0.292932
 r_peak2232.000000 r_peak_value0.527129 rr_pre_interval131.000000 rr_post_interval287.000000 p_onset176.000000 p_onset_val-0.215626 p_peak215.000000 p_peak_val0.585767 p_end244.000000 p_end_val0.082115 qrs_onset277.000000 qrs_onset_val0.416800 qrs_end9.000000 qrs_end_val-0.119594 t_peak89.000000 t_peak_val1.074703 t_end92.000000 t_end_val0.767352
